[[ 189.  368.]]	[[ 107.  367.]]
[[ 579.  269.]]	[[   4.  348.]]
[[ 128.  378.]]	[[ 454.  234.]]
[[ 254.  239.]]	[[  50.  422.]]
[[   2.  349.]]	[[  65.  429.]]
[[  50.  419.]]	[[ 454.  233.]]
[[  81.  430.]]	[[ 592.  245.]]
[[  81.  429.]]	[[ 454.  234.]]
[[  50.  420.]]	[[ 454.  233.]]
[[ 579.  269.]]	[[ 454.  234.]]
[[ 189.  367.]]	[[ 454.  234.]]
[[ 454.  234.]]	[[ 589.  245.]]
[[ 189.  368.]]	[[  66.  429.]]
